Order;Family;Genus;OTU;Sum
Euglyphida;Euglyphidae;Euglypha;Otu331;1967
Glissomonadida;Sandonidae;Flectomonas;Otu332;1963
Glissomonadida;Allapsidae;Allapsidae_X;Otu333;1961
Glissomonadida;Sandonidae;Sandonidae_X;Otu334;1950
Cryomonadida;Rhogostomidae;Rhogostomidae_X;Otu335;1948
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu336;1936
Novel_Clade-10-12_X;Novel_Clade-10-12_XX;Novel_Clade-10-12_XXX;Otu337;1934
Cercomonadida;Cercomonadidae;Cercomonas;Otu338;1929
Tremulida;Tremulidae;Tremula;Otu339;1918
Glissomonadida;Allapsidae;Allapsidae_X;Otu340;1908
Euglyphida;Paulinellidae;Paulinella;Otu341;1907
Cercomonadida;Cercomonadidae;Cercomonas;Otu342;1906
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu343;1905
Glissomonadida;Allapsidae;Allapsidae_X;Otu344;1897
Euglyphida;Trinematidae;Trinematidae_X;Otu345;1889
Cryomonadida;Rhogostomidae;Rhogostomidae_X;Otu346;1882
Euglyphida;Euglyphida_X;Euglyphida_XX;Otu347;1863
Glissomonadida;Allapsidae;Allapsidae_X;Otu348;1842
Ebriida;TAGIRI1-lineage;TAGIRI1-lineage_X;Otu349;1833
Euglyphida;Euglyphidae;Euglypha;Otu350;1820
Glissomonadida;Allapsidae;Allapsidae_X;Otu351;1813
Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX;Otu352;1798
Spongomonadida;Spongomonadidae;Spongomonas;Otu353;1796
Thaumatomonadida;Thaumatomonadidae;Thaumatomonas;Otu354;1796
Limnofilida;Limnofilidae;Limnofilidae_X;Otu355;1794
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu356;1785
Spongomonadida;Spongomonadidae;Spongomonas;Otu357;1779
Glissomonadida;Allapsidae;Allapsidae_X;Otu358;1773
Glissomonadida;Allapsidae;Allapsidae_X;Otu359;1772
Krakenida;Krakenidae;Kraken;Otu360;1736
Glissomonadida;Allapsidae;Allapsidae_XXX;Otu361;1731
Filosa-Granofilosea_X;Novel-Gran-234;Novel-Gran-234_X;Otu362;1723
Glissomonadida;Sandonidae;Sandonidae_X;Otu363;1718
Cercomonadida;Cercomonadidae;Cercomonas;Otu364;1715
Limnofilida;Limnofilidae;Limnofilidae_X;Otu365;1706
