;Order;Family;Species;bacterivorous;eukaryvorous;omnivorous;plant parasite;parasite (not plant);unknown nutrition;naked flagellate;testate amoeba (silica);testate amoeba (organic/agglutinated);testate amoeboflagellate;testate flagellate;naked amoeboflagellate;intracellular plasmodia/spores;unknown morphology;creeping/gliding;freely swimming;motile zoospore;unknown locomotion;soil/freshwater;marine;ubiquitous;unknown habitat
Otu078;Thaumatomonadida;Thaumatomonadidae;Thaumatomonas+seravini;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu079;Glissomonadida;Sandonidae;Sandonidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu080;Filosa-Imbricatea_X;Filosa-Imbricatea_XX;Filosa-Imbricatea_XXX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu081;Glissomonadida;Sandonidae;Sandona+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu082;Cercomonadida;Paracercomonadidae;Paracercomonas+sp.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu083;Glissomonadida;Proleptomonadidae;Proleptomonas+faecicola;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
Otu084;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu085;Cercomonadida;Paracercomonadidae;Paracercomonas+compacta;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu086;Cercomonadida;Paracercomonadidae;Paracercomonas+sp.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu087;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu088;Glissomonadida;Glissomonadida_X;Glissomonadida_XX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
Otu089;Filosa-Imbricatea_X;Filosa-Imbricatea_XX;Filosa-Imbricatea_XXX;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu090;Euglyphida;Euglyphida_X;Euglyphida_XX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu091;Cercomonadida;Cercomonadidae;Cercomonas+sp.;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu092;Glissomonadida;Sandonidae;Sandonidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu093;Cercomonadida;Cercomonadidae;Cercomonas+sp.;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu094;Glissomonadida;Sandonidae;Sandona+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu095;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu096;Glissomonadida;Glissomonadida_X;Glissomonadida_XX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
Otu097;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu098;Limnofilida;Limnofilidae;Limnofila+longa;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu099;Euglyphida;Euglyphidae;Sphenoderia+pseudominuta;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu100;Cercomonadida;Cercomonadidae;Cercomonas+sp.;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu101;Glissomonadida;Allapsidae;Allapsidae_X+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu102;Tremulida;Tremulidae;Tremula+longifila;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Otu103;Glissomonadida;Allapsidae;Allantion+sp.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Otu104;Filosa-Imbricatea_X;Filosa-Imbricatea_XX;Filosa-Imbricatea_XXX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
Otu105;Plasmodiophorida;Polymyxa-lineage;Polymyxa+graminis;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
Otu106;Cercomonadida;Paracercomonadidae;Paracercomonas+oxoniensis;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu107;Cercomonadida;Paracercomonadidae;Paracercomonas+sp.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Otu108;Plasmodiophorida;Plasmodiophoridae;Plasmodiophora+brassicae;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
Otu109;Euglyphida;Euglyphida_X;Euglyphida_XX+sp.;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
